team_id,teamname,city,conference,division,gameswon,gameslost,pointsscoredbyteam,pointsscoredbyopposition,pointsdifferential,coach,season,player_id,playerfirstname,playerlastname
9,Tennessee Titans,Tennessee,AFC,AFC South,9,7,381,378,3,Mike Mularkey,2016,1,Marcus,Mariota
9,Tennessee Titans,Tennessee,AFC,AFC South,9,7,381,378,3,Mike Mularkey,2016,2,Demarco,Murray
9,Tennessee Titans,Tennessee,AFC,AFC South,9,7,381,378,3,Mike Mularkey,2016,3,Derrick,Henry
10,Miami Dolphins,Miami,AFC,AFC East,10,6,404,338,66,Brian Flores,2020,4,Myles,Gaskin
10,Miami Dolphins,Miami,AFC,AFC East,10,6,404,338,66,Brian Flores,2020,5,Salvon,Ahmed
10,Miami Dolphins,Miami,AFC,AFC East,10,6,404,338,66,Brian Flores,2020,6,Matt,Breida
1,Buffalo Bills,Buffalo,AFC,AFC East,11,6,483,289,194,Sean McDermott,2021,7,Josh,Allen
1,Buffalo Bills,Buffalo,AFC,AFC East,11,6,483,289,194,Sean McDermott,2021,8,Cole,Beasley
2,Houston Texans,Houston,AFC,AFC South,11,5,402,316,86,Bill O Brien,2018,9,Deshaun,Watson
2,Houston Texans,Houston,AFC,AFC South,11,5,402,316,86,Bill O Brien,2018,10,DeAndre,Hopkins
3,Philadelphia Eagles,Philadelphia,NFC,NFC East,9,7,385,354,31,Doug Pederson,2019,11,Carson,Wentz
3,Philadelphia Eagles,Philadelphia,NFC,NFC East,9,7,385,354,31,Doug Pederson,2019,12,Jake,Elliot
4,Detroit Lions,Detroit,NFC,NFC North,9,8,453,427,26,Dan Campbell,2022,13,Jared,Goff
4,Detroit Lions,Detroit,NFC,NFC North,9,8,453,427,26,Dan Campbell,2022,14,Jack,Fox
4,Detroit Lions,Detroit,NFC,NFC North,9,8,453,427,26,Dan Campbell,2022,15,Nate,Sudfeld
5,Carolina Panthers,Carolina,NFC,NFC South,11,5,363,327,36,Ron Rivera,2017,16,Cam,Newton
6,Los Angeles Rams,Los Angeles,NFC,NFC West,5,12,307,384,-77,Sean McVay,2022,17,Matthew,Stafford
6,Los Angeles Rams,Los Angeles,NFC,NFC West,5,12,307,384,-77,Sean McVay,2022,18,Baker,Mayfield
7,New Orleans Saints,New Orleans,NFC,NFC South,12,4,482,337,145,Sean Payton,2020,19,Drew,Brees
7,New Orleans Saints,New Orleans,NFC,NFC South,12,4,482,337,145,Sean Payton,2020,20,Taysom,Hill
7,New Orleans Saints,New Orleans,NFC,NFC South,12,4,482,337,145,Sean Payton,2020,21,Jameis,Winston
8,Denver Broncos,Denver,AFC,AFC West,5,11,289,382,-93,Vance Joseph,2017,22,Paxton,Lynch
